"Feature_Description" "Mean" "Standard_deviation"
"tBodyAcc-mean()-X" 0.274347260646063 0.0676277962784943
"tBodyAcc-mean()-Y" -0.0177434918458972 0.0371281663827435
"tBodyAcc-mean()-Z" -0.108925032737064 0.0530330859935597
"tBodyAcc-std()-X" -0.607783818968688 0.438693831339194
"tBodyAcc-std()-Y" -0.510191378479501 0.500239766883052
"tBodyAcc-std()-Z" -0.61306429934125 0.403656584651858
"tGravityAcc-mean()-X" 0.669226222373046 0.515485780308741
"tGravityAcc-mean()-Y" 0.00403879092060517 0.378909215421356
"tGravityAcc-mean()-Z" 0.0921508600211059 0.334270168704641
"tGravityAcc-std()-X" -0.965207115039421 0.0777147960480108
"tGravityAcc-std()-Y" -0.95440802665318 0.0852866205384834
"tGravityAcc-std()-Z" -0.938900969424022 0.101554847657515
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.176112457141583
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.164518387624882
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.155978985687957
"tBodyAccJerk-std()-X" -0.63978102073413 0.408711816447501
"tBodyAccJerk-std()-Y" -0.607971599340832 0.43288446111401
"tBodyAccJerk-std()-Z" -0.762820240449202 0.277901388841564
"tBodyGyro-mean()-X" -0.0309824871713436 0.183186086288647
"tBodyGyro-mean()-Y" -0.0747194855994359 0.134317132299449
"tBodyGyro-mean()-Z" 0.088357304227173 0.134875256324883
"tBodyGyro-std()-X" -0.721192598029789 0.301027072676107
"tBodyGyro-std()-Y" -0.682653506899942 0.356884535690522
"tBodyGyro-std()-Z" -0.653665674372188 0.372606080407907
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.128134958190288
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.114409175563585
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.12889560784934
"tBodyGyroJerk-std()-X" -0.731348533131935 0.303815898902629
"tBodyGyroJerk-std()-Y" -0.786062320321895 0.272715680791952
"tBodyGyroJerk-std()-Z" -0.739932395222129 0.301994176894438
"tBodyAccMag-mean()" -0.54822165976717 0.467093741712107
"tBodyAccMag-std()" -0.591225327146546 0.429431345143224
"tGravityAccMag-mean()" -0.54822165976717 0.467093741712107
"tGravityAccMag-std()" -0.591225327146546 0.429431345143224
"tBodyAccJerkMag-mean()" -0.649417950650692 0.389494205866934
"tBodyAccJerkMag-std()" -0.627762945785391 0.41722133114306
"tBodyGyroMag-mean()" -0.60524856977632 0.399709556285823
"tBodyGyroMag-std()" -0.662533062898382 0.349224601712275
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.276514503019
"tBodyGyroJerkMag-std()" -0.77799317279698 0.271590190956826
"fBodyAcc-mean()-X" -0.622761658493734 0.420794621128506
"fBodyAcc-mean()-Y" -0.53749328145871 0.481681850416162
"fBodyAcc-mean()-Z" -0.665033506271952 0.358853083334195
"fBodyAcc-std()-X" -0.603356276555826 0.446792819087921
"fBodyAcc-std()-Y" -0.528420009576204 0.479924986365809
"fBodyAcc-std()-Z" -0.617874813333395 0.398973184544622
"fBodyAcc-meanFreq()-X" -0.2214691368263 0.26458578361303
"fBodyAcc-meanFreq()-Y" 0.015400588735675 0.240846041776942
"fBodyAcc-meanFreq()-Z" 0.0473098698476722 0.283784833517026
"fBodyAccJerk-mean()-X" -0.656713524546605 0.389994623739824
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.407300107685122
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.297708213609458
"fBodyAccJerk-std()-X" -0.654979816705833 0.393291807713421
"fBodyAccJerk-std()-Y" -0.612243590244114 0.433524948432751
"fBodyAccJerk-std()-Z" -0.780928428167213 0.259543592492186
"fBodyAccJerk-meanFreq()-X" -0.0477062917542325 0.295541570708683
"fBodyAccJerk-meanFreq()-Y" -0.213392904926883 0.272186281568714
"fBodyAccJerk-meanFreq()-Z" -0.123828014584147 0.273353750555325
"fBodyGyro-mean()-X" -0.672094306818974 0.35149842860383
"fBodyGyro-mean()-Y" -0.70621663959074 0.335665288148602
"fBodyGyro-mean()-Z" -0.644192752866115 0.382019381474912
"fBodyGyro-std()-X" -0.738594816501343 0.285773041831007
"fBodyGyro-std()-Y" -0.674226934551517 0.369664683490479
"fBodyGyro-std()-Z" -0.690446312501126 0.337310154388265
"fBodyGyro-meanFreq()-X" -0.101042702224631 0.255888865648293
"fBodyGyro-meanFreq()-Y" -0.174277577553958 0.273333251651214
"fBodyGyro-meanFreq()-Z" -0.0513928953203266 0.266192798184612
"fBodyAccMag-mean()" -0.585962696268539 0.445326568748138
"fBodyAccMag-std()" -0.659531216655476 0.355428822604272
"fBodyAccMag-meanFreq()" 0.0768760112631957 0.262958087372081
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.425064058475465
"fBodyBodyAccJerkMag-std()" -0.640076803144351 0.406022019765095
"fBodyBodyAccJerkMag-meanFreq()" 0.173219742700723 0.252536980465226
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.323701247447165
"fBodyBodyGyroMag-std()" -0.699976372277643 0.310443110261479
"fBodyBodyGyroMag-meanFreq()" -0.0415636227771787 0.280141787984183
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.267591646696675
"fBodyBodyGyroJerkMag-std()" -0.792190209274884 0.25916005947039
"fBodyBodyGyroJerkMag-meanFreq()" 0.126707820497791 0.245443027441107
"angle(tBodyAccMean,gravity)" 0.00770513730366637 0.336591046179278
"angle(tBodyAccJerkMean),gravityMean)" 0.00264770963963395 0.44736375602737
"angle(tBodyGyroMean,gravityMean)" 0.0176831301958708 0.616188498331737
"angle(tBodyGyroJerkMean,gravityMean)" -0.00921912899702262 0.48476983995559
"angle(X,gravityMean)" -0.496522166185746 0.511157750223321
"angle(Y,gravityMean)" 0.0632551738495058 0.305467964061558
"angle(Z,gravityMean)" -0.0542842821505305 0.26889816410019
